station_source,variable,folder,start,end,span_days,span_years,covered_days,n_files,n_blocks,max_gap_days,blocks,file_list
Aachen,ta,Aachen,1891-01-01,2011-03-31,43919,120.25,43919,1,1,0,1891-01-01..2011-03-31,/scratch3/PALAEO-RA/daily_data/final/Aachen/Aachen_18910101-20110331_ta_daily.tsv
AiPetri,ta,AiPetri,1895-09-12,2012-12-31,42845,117.31,42845,1,1,0,1895-09-12..2012-12-31,/scratch3/PALAEO-RA/daily_data/final/AiPetri/AiPetri_18950912-20121231_ta_daily.tsv
Alkmaar,dd,Alkmaar,1741-05-01,1748-11-30,2771,7.59,2771,1,1,0,1741-05-01..1748-11-30,/scratch3/PALAEO-RA/daily_data/final/Alkmaar/Alkmaar_17410501-17481130_dd_subdaily_qc.tsv
Alkmaar,rr,Alkmaar,1741-05-01,1748-11-30,2771,7.59,2771,1,1,0,1741-05-01..1748-11-30,/scratch3/PALAEO-RA/daily_data/final/Alkmaar/Alkmaar_17410501-17481130_rr_subdaily.tsv
Alkmaar,ta,Alkmaar,1741-05-01,1748-11-30,2771,7.59,2771,1,1,0,1741-05-01..1748-11-30,/scratch3/PALAEO-RA/daily_data/final/Alkmaar/Alkmaar_17410501-17481130_ta_subdaily_qc.tsv
Amsterdam,dd,Amsterdam,1762-01-01,1778-12-31,6209,17.00,6209,1,1,0,1762-01-01..1778-12-31,/scratch3/PALAEO-RA/daily_data/final/Amsterdam/Amsterdam_17620101-17781231_dd_subdaily_qc.tsv
Amsterdam,p,Amsterdam,1762-01-01,1778-12-31,6209,17.00,6209,1,1,0,1762-01-01..1778-12-31,/scratch3/PALAEO-RA/daily_data/final/Amsterdam/Amsterdam_17620101-17781231_p_subdaily_qc.tsv
Amsterdam,ta,Amsterdam,1762-01-01,1778-12-31,6209,17.00,6209,1,1,0,1762-01-01..1778-12-31,/scratch3/PALAEO-RA/daily_data/final/Amsterdam/Amsterdam_17620101-17781231_ta_subdaily_qc.tsv
Amsterdam2,dd,Amsterdam,1779-01-01,1785-12-31,2557,7.00,2557,1,1,0,1779-01-01..1785-12-31,/scratch3/PALAEO-RA/daily_data/final/Amsterdam/Amsterdam2_17790101-17851231_dd_subdaily_qc.tsv
Amsterdam2,p,Amsterdam,1779-01-01,1785-12-31,2557,7.00,2557,1,1,0,1779-01-01..1785-12-31,/scratch3/PALAEO-RA/daily_data/final/Amsterdam/Amsterdam2_17790101-17851231_p_subdaily_qc.tsv
Amsterdam2,ta,Amsterdam,1779-01-01,1785-12-31,2557,7.00,2557,1,1,0,1779-01-01..1785-12-31,/scratch3/PALAEO-RA/daily_data/final/Amsterdam/Amsterdam2_17790101-17851231_ta_subdaily_qc.tsv
Andechs,dd,Andechs,1781-01-01,1792-12-31,4383,12.00,4383,1,1,0,1781-01-01..1792-12-31,/scratch3/PALAEO-RA/daily_data/final/Andechs/Andechs_17810101-17921231_dd_subdaily_qc.tsv
Andechs,p,Andechs,1781-01-01,1792-12-31,4383,12.00,4383,2,1,0,1781-01-01..1792-12-31,/scratch3/PALAEO-RA/daily_data/final/Andechs/Andechs_17810101-17921231_p_subdaily_qc.tsv|/scratch3/PALAEO-RA/daily_data/final/Andechs/Andechs_17870101-17881231_p_daily_qc.tsv
Andechs,ta,Andechs,1781-02-13,1792-12-31,4340,11.88,4340,2,1,0,1781-02-13..1792-12-31,/scratch3/PALAEO-RA/daily_data/final/Andechs/Andechs_17810213-17921231_ta_subdaily_qc.tsv|/scratch3/PALAEO-RA/daily_data/final/Andechs/Andechs_17870101-17881231_ta_daily_qc.tsv
Andechs,w,Andechs,1781-01-01,1792-12-31,4383,12.00,4383,1,1,0,1781-01-01..1792-12-31,/scratch3/PALAEO-RA/daily_data/final/Andechs/Andechs_17810101-17921231_w_subdaily.tsv
Andenes,ta,Andenes,1867-07-10,1972-03-31,38251,104.73,38251,1,1,0,1867-07-10..1972-03-31,/scratch3/PALAEO-RA/daily_data/final/Andenes/Andenes_18670710-19720331_ta_daily.tsv
Armagh,ta,Armagh,1844-01-01,2024-12-31,66110,181.00,66110,1,1,0,1844-01-01..2024-12-31,/scratch3/PALAEO-RA/daily_data/final/Armagh/Armagh_18440101-20241231_ta_daily.tsv
Augsburg,p,Augsburg,1813-01-01,1817-12-31,1826,5.00,1826,1,1,0,1813-01-01..1817-12-31,/scratch3/PALAEO-RA/daily_data/final/Augsburg/Augsburg_18130101-18171231_p_subdaily_qc.tsv
Augsburg,ta,Augsburg,1813-01-01,1817-12-31,1826,5.00,1826,1,1,0,1813-01-01..1817-12-31,/scratch3/PALAEO-RA/daily_data/final/Augsburg/Augsburg_18130101-18171231_ta_subdaily_qc.tsv
Baghdad,dd,Baghdad,1782-12-13,1784-01-20,404,1.11,404,1,1,0,1782-12-13..1784-01-20,/scratch3/PALAEO-RA/daily_data/final/Baghdad/Baghdad_17821213-17840120_dd_subdaily_qc.tsv
Baghdad,p,Baghdad,1782-12-13,1784-01-20,404,1.11,404,1,1,0,1782-12-13..1784-01-20,/scratch3/PALAEO-RA/daily_data/final/Baghdad/Baghdad_17821213-17840120_p_subdaily_qc.tsv
Baghdad,ta,Baghdad,1782-12-13,1784-01-20,404,1.11,404,1,1,0,1782-12-13..1784-01-20,/scratch3/PALAEO-RA/daily_data/final/Baghdad/Baghdad_17821213-17840120_ta_subdaily_qc.tsv
Barcelona,ta,Barcelona,1800-01-01,1825-12-31,9496,26.00,9496,1,1,0,1800-01-01..1825-12-31,/scratch3/PALAEO-RA/daily_data/final/Barcelona/Barcelona_18000101-18251231_ta_subdaily_qc.tsv
