ID	Name	Lat	Lon
AGE00135039	ORAN-HOPITAL MILITAIRE	35.7297	0.65
AGE00147705	ALGIERS-VILLE/UNIVERSITE	36.78	3.07
AGE00147707	ALGIERS-CAP CAXINE	36.8	3.04
AGE00147708	TIZI OUZOU	36.72	4.05
AGE00147709	FORT NATIONAL	36.63	4.2
AGE00147711	CONSTANTINE	36.3697	6.62
AGE00147712	ORLEANSVILLE (CHLEF)	36.17	1.34
AGE00147713	SETIF	36.18	5.4
AGE00147715	TEBESSA	35.42	8.1197
AGE00147716	NEMOURS (GHAZAOUET)	35.1	-1.85
AGE00147717	SIDI-BEL-ABBES	35.2	0.63
AGE00147718	BISKRA	34.85	5.72
AGE00147719	LAGHOUAT	33.7997	2.89
AGE00147720	GERYVILLE (EL-BAYADH)	33.68	1
AJ000037735	GANCA	40.7167	46.4167
AJ000037850	BAKU	40.4	49.8
AM000037789	YEREVAN	40.2	44.5
ASN00001005	WYNDHAM PORT	-15.4644	128.1
ASN00003002	BROOME POST OFFICE	-17.95	122.25
ASN00003007	DERBY POST OFFICE	-17.3044	123.6292
ASN00003010	KIMBERLEY DOWNS	-17.3897	124.3578
ASN00003050	LIVERINGA LOWER	-17.95	124.1667
ASN00004007	BOODARIE	-20.4	118.4667
ASN00004012	DE GREY	-20.1764	119.1906
ASN00004023	MULYIE	-20.4619	119.5189
ASN00004035	ROEBOURNE	-20.7767	117.1456
ASN00004053	CONDON	-20	119.4
ASN00004054	COSSACK	-20.6783	117.1892
ASN00004071	PYRAMID 1	-21.05	117.45
ASN00005008	MARDIE	-21.1906	115.9797
ASN00005014	MOUNT FLORANCE	-21.7869	117.8647
ASN00005016	ONSLOW	-21.6364	115.1117
ASN00005044	FORTESCUE	-21.1	116.1
ASN00005046	HARDY JUNCTION	-22.7	116.1
ASN00006000	BIDGEMIA	-25.0417	115.3092
ASN00006025	HAMELIN POOL	-26.4008	114.1667
ASN00006027	JIMBA JIMBA	-25.0442	115.1331
ASN00006052	WILLIAMBURY	-23.8608	115.1475
ASN00006062	CARNARVON POST OFFICE	-24.9	113.65
ASN00006074	MILLIE MILLIE	-24.8667	114.5833
ASN00007003	BERINGARRA	-26.0417	116.9528
ASN00007020	ANNEAN	-26.8764	118.1731
ASN00007027	GABYON	-28.2494	116.34
ASN00007052	MOORARIE	-25.9214	117.6
