start_date,end_date,StationName,AlternateName,Variable,Units,Latitude,Longitude,RoundLat,RoundLon,Elevation,StationCode,AlternateCode,Dataset,FileName,LocalDirectory,ObsFrequency,TempAggregation,QC,GravityCorr,TemperatureCorr,TotalObs
18510101,18991231,Yerevan,Yerevan,T,C,40.2,44.5,40.25,44.5,1113.0,AM000037789,AM000037789,GHCNd,AM000037789,C:\Users\Conall\Desktop\Conall - WCR\Historical Observations\Online Databases\GHCNd\daily-summaries-latest,hourly/unspecified,unspecified,",,r/H,,S",,,39948
18760101,18991231,HamburgDeutscheSeewarte,HamburgDeutscheSeewarte,T,C,53.54666666666667,9.971388889,53.5,10.0,29.0,181383,11781,ECA&D,TG_SOUID_181383,C:\Users\Conall\Desktop\Conall - WCR\Historical Observations\Online Databases\ECA&D\ECA_nonblend_tg,unspecified, TG3,unspecified,,,16435
18830101,18991231,HamburgBergedorf,HamburgBergedorf,T,C,53.480555555555554,10.24277778,53.5,10.25,35.0,100158,46,ECA&D,TG_SOUID_100158,C:\Users\Conall\Desktop\Conall - WCR\Historical Observations\Online Databases\ECA&D\ECA_nonblend_tg,unspecified, TG3,unspecified,,,18293
18771216,18991231,HamburgFuhlsbuettel,HamburgFuhlsbuettel,T,C,53.635,9.99,53.75,10.0,11.0,111417/GM000010147,47/GM000010147,ECA&D/GHCNd,TG_SOUID_111417/GM000010147,C:\Users\Conall\Desktop\Conall - WCR\Historical Observations\Online Databases\ECA&D\ECA_nonblend_tg/C:\Users\Conall\Desktop\Conall - WCR\Historical Observations\Online Databases\GHCNd\daily-summaries-latest,unspecified/hourly, TG3/unspecified,"[unspecified]/[H,,S]",,,32871
18820101,18991231,VajdaGuba,VajdaGuba,T,C,69.9330555555556,31.98305556,70.0,32.0,8.0,148023/RSM00022003,8056/RSM00022003,ECA&D/GHCNd,TG_SOUID_148023/RSM00022003,C:\Users\Conall\Desktop\Conall - WCR\Historical Observations\Online Databases\ECA&D\ECA_nonblend_tg/C:\Users\Conall\Desktop\Conall - WCR\Historical Observations\Online Databases\GHCNd\daily-summaries-latest,unspecified,TG1/unspecified,"unspecified/,,r",,,38053
18950901,18981231,Polyarny,Polyarny,T,C,69.2,33.48305556,69.25,33.5,32.0,148028,8057,ECA&D,TG_SOUID_148028,C:\Users\Conall\Desktop\Conall - WCR\Historical Observations\Online Databases\ECA&D\ECA_nonblend_tg,unspecified, TG1,unspecified,,,28948
18850601,18991231,SvyatoyNos,SvyatoyNos,T,C,68.15,39.76666667,68.25,39.75,12.0,148063,1073,ECA&D,TG_SOUID_148063,C:\Users\Conall\Desktop\Conall - WCR\Historical Observations\Online Databases\ECA&D\ECA_nonblend_tg,unspecified, TG1,unspecified,,,43021
18910101,18991231,BerlinDahlem,BerlinDahlemLfag,T,C,52.45777777777778,13.30138889,52.5,13.25,55.0,127488,4533,ECA&D,TG_SOUID_127488,C:\Users\Conall\Desktop\Conall - WCR\Historical Observations\Online Databases\ECA&D\ECA_nonblend_tg,unspecified, TG3,unspecified,,,31581
18940101,18991231,BerlinTempelhof,BerlinTempelhof,T,C,52.4683,13.4039,52.5,13.5,48.0,GME00111445,GME00111445,GHCNd,GME00111445,C:\Users\Conall\Desktop\Conall - WCR\Historical Observations\Online Databases\GHCNd\daily-summaries-latest,hourly,unspecified,"H,,S",,,22118
18950101,18991231,Lankaran,Lankaran,T,C,38.75,48.817,38.75,48.75,-12.0,AJ000037985,AJ000037985,GHCNd,AJ000037985,C:\Users\Conall\Desktop\Conall - WCR\Historical Observations\Online Databases\GHCNd\daily-summaries-latest,hourly,unspecified,"H,,S",,,20453
18760101,18991231,ChemnitzGHCN,ChemnitzGHCN,T,C,50.8,12.867,50.75,12.75,420.0,GMM00010577,GMM00010577,GHCNd,GMM00010577,C:\Users\Conall\Desktop\Conall - WCR\Historical Observations\Online Databases\GHCNd\daily-summaries-latest,hourly,unspecified,"H,,S",,,5944
18820101,18991231,EssenBredeney,EssenBredeney,T,C,51.40555555555555,6.968333333,51.5,7.0,150.0,121980,4074,ECA&D,TG_SOUID_121980,C:\Users\Conall\Desktop\Conall - WCR\Historical Observations\Online Databases\ECA&D\ECA_nonblend_tg,unspecified, TG3,unspecified,,,31413
18820101,18991231,EssenMulheim,EssenMulheim,T,C,51.4,6.967,51.5,7.0,161.0,GMM00010410,GMM00010410,GHCNd,GMM00010410,C:\Users\Conall\Desktop\Conall - WCR\Historical Observations\Online Databases\GHCNd\daily-summaries-latest,hourly,unspecified,"H,,S",,,18997
18700101,18991231,Wasserkuppe,Wasserkuppe,T,C,50.49777777777778,9.943888888888889,50.5,10.0,921.0,121176,4007,ECA&D,TG_SOUID_121176,C:\Users\Conall\Desktop\Conall - WCR\Historical Observations\Online Databases\ECA&D\ECA_nonblend_tg,unspecified, TG3,unspecified,,,29800
18910101,18991231,LeipzigSchkeuditz,LeipzigSchkeuditz,T,C,51.43583333333333,12.241388888888888,51.5,12.25,131.0,102294,482,ECA&D,TG_SOUID_102294,C:\Users\Conall\Desktop\Conall - WCR\Historical Observations\Online Databases\ECA&D\ECA_nonblend_tg,unspecified, TG3,unspecified,,,24934
18631201,18991231,Kem,Kem,T,C,64.95,34.65,65.0,34.75,8.0,RSM00022522,RSM00022522,GHCNd,RSM00022522,C:\Users\Conall\Desktop\Conall - WCR\Historical Observations\Online Databases\GHCNd\daily-summaries-latest,hourly,unspecified,"H,,S",,,14459
18850101,18991231,ValentiaWestwoodSecondOrder,ValentiaObservatory,T,C,51.94,-10.2439,52.0,-10.25,9.0,ValentiaObservatory,ValentiaObservatory,ILMMT,Valentia Observatory_second order station_1883-1909,C:\Users\Conall\Desktop\Conall - WCR\Historical Observations\Online Databases\ILMMT\Ireland Long-term Maximum and Minimum Air Temperature Dataset (ILMMT)\Long-term series\Valentia Observatory,"Tmax,Tmin","mean(Tmax,Tmin)",unspecified,,,6416
18501001,18991231,ValentiaIslandTelegraphic,ValentiaObservatory,T,C,51.9106,-10.3036,52.0,-10.25,16.0,ValentiaObservatory,ValentiaObservatory,ILMMT,Valentia Observatory telegraphic reporting station_1850-1920,C:\Users\Conall\Desktop\Conall - WCR\Historical Observations\Online Databases\ILMMT\Ireland Long-term Maximum and Minimum Air Temperature Dataset (ILMMT)\Long-term series\Valentia Observatory,"Tmax,Tmin","mean(Tmax,Tmin)",unspecified,,,7659
18830101,18920306,PhoenixParkOutsideObservatory,PhoenixParkOutsideObservatory,T,C,53.36252777777778,-6.34838888888889,53.25,-6.25,47.2,PhoenixParkDublin,PhoenixParkDublin,ILMMT,Phoenix Park Dublin_outside observatory_1842-1847,C:\Users\Conall\Desktop\Conall - WCR\Historical Observations\Online Databases\ILMMT\Ireland Long-term Maximum and Minimum Air Temperature Dataset (ILMMT)\Long-term series\Phoenix Park Dublin,"Tmax,Tmin","mean(Tmax,Tmin)",unspecified,,,1958
18920307,18991231,RoyalCollegeOfSurgeonsDublin,RCSDublin,T,C,53.3391,-6.2631,53.25,-6.25,11.0,RCSDublin,RCSDublin,ILMMT,RCS Dublin_1841-1857,C:\Users\Conall\Desktop\Conall - WCR\Historical Observations\ILMMT\Ireland Long-term Maximum and Minimum Air Temperature Dataset (ILMMT)\Short-term series\Royal College of Surgeons Dublin,"Tmax,Tmin","mean(Tmax,Tmin)",unspecified,,,4336
18501019,18920310,CommercialBuildingsDublin,CommercialBuildingsDublin,T,C,53.344,-6.263,53.25,-6.25,7.0,Commercial Buildings Dublin,Commercial Buildings Dublin,ILMMT,Commercial Buildings Dublin_1849-1858,C:\Users\Conall\Desktop\Conall - WCR\Historical Observations\ILMMT\Ireland Long-term Maximum and Minimum Air Temperature Dataset (ILMMT)\Short-term series\Commercial Buildings Dublin,"Tmax,Tmin","mean(Tmax,Tmin)",unspecified,,,2997
18920311,18991231,GraftonStreetDublin,GraftonStreet,T,C,53.342,-6.26,53.25,-6.25,8.5,GraftonStreetDublin,GraftonStreetDublin,ILMMT,Grafton Street Dublin_1843-1849,C:\Users\Conall\Desktop\Conall - WCR\Historical Observations\ILMMT\Ireland Long-term Maximum and Minimum Air Temperature Dataset (ILMMT)\Short-term series\Grafton Street Dublin,"Tmax,Tmin","mean(Tmax,Tmin)",unspecified,,,2556
18510113,18991231,FitzwilliamSquareDublin,FitzwilliamSquare,T,C,53.333333,-6.25,53.25,-6.25,15.5,FitzwilliamSquareDublin,FitzwilliamSquareDublin,ILMMT,Fitzwilliam Square Dublin_1871-1937,C:\Users\Conall\Desktop\Conall - WCR\Historical Observations\Online Databases\ILMMT\Ireland Long-term Maximum and Minimum Air Temperature Dataset (ILMMT)\Long-term series\Fitzwilliam Square Dublin,"Tmax,Tmin","mean(Tmax,Tmin)",unspecified,,,24379
18310118,18991231,TrinityCollegeDublin,TrinityCollege,T,C,53.35,-6.266667,53.25,-6.25,7.3,TrinityCollegeDublin,TrinityCollegeDublin,ILMMT,Trinity College Dublin_1840-1959,C:\Users\Conall\Desktop\Conall - WCR\Historical Observations\Online Databases\ILMMT\Ireland Long-term Maximum and Minimum Air Temperature Dataset (ILMMT)\Long-term series\Trinity College Dublin,"Tmax,Tmin","mean(Tmax,Tmin)",unspecified,,,24554
18420501,18471231,BotanicGardensNLI,BotanicGardens,T,C,53.3731,-6.2726,53.25,-6.25,18.0,BotanicGardensGlasnevinDublin,BotanicGardensGlasnevinDublin,ILMMT,Botanic Gardens Dublin NLI series_1882-1952,C:\Users\Conall\Desktop\Conall - WCR\Historical Observations\Online Databases\ILMMT\Ireland Long-term Maximum and Minimum Air Temperature Dataset (ILMMT)\Long-term series\Botanic Gardens Glasnevin Dublin,"Tmax,Tmin","mean(Tmax,Tmin)",unspecified,,,25244
18411226,18571219,BotanicGardensRDS,BotanicGardens,T,C,53.38333333333333,-6.26666666666667,53.5,-6.25,19.7,BotanicGardensGlasnevinDublin,BotanicGardensGlasnevinDublin,ILMMT,Botanic Gardens Dublin_1834-1958,C:\Users\Conall\Desktop\Conall - WCR\Historical Observations\Online Databases\ILMMT\Ireland Long-term Maximum and Minimum Air Temperature Dataset (ILMMT)\Long-term series\Botanic Gardens Glasnevin Dublin,"Tmax,Tmin","mean(Tmax,Tmin)",unspecified,,,39799
18491203,18580401,RoyalDublinObservatory,Dunsink,T,C,53.386944444444445,-6.3374999999999995,53.5,-6.25,81.0,RDODublin,RDODublin,ILMMT,RDO Dunsink_1851,C:\Users\Conall\Desktop\Conall - WCR\Historical Observations\ILMMT\Ireland Long-term Maximum and Minimum Air Temperature Dataset (ILMMT)\Short-term series\Royal Dublin Observatory (Dunsink),"Tmax,Tmin","mean(Tmax,Tmin)",unspecified,,,275
18430101,18491231,Scattery,InisCathaigh,T,C,52.605569,-9.517835,52.5,-9.5,4.0,Scattery,Scattery,ILMMT,Scattery_1850-1852,C:\Users\Conall\Desktop\Conall - WCR\Historical Observations\ILMMT\Ireland Long-term Maximum and Minimum Air Temperature Dataset (ILMMT)\Short-term series\Scattery,"Tmax,Tmin","mean(Tmax,Tmin)",unspecified,,,367
18710101,18991231,Portrush,Portrush,T,C,55.21666666666667,-6.683333333333334,55.25,-6.75,8.8,Portrush,Portrush,ILMMT,Portrush_1850-1852,C:\Users\Conall\Desktop\Conall - WCR\Historical Observations\ILMMT\Ireland Long-term Maximum and Minimum Air Temperature Dataset (ILMMT)\Short-term series\Portrush,"Tmax,Tmin","mean(Tmax,Tmin)",unspecified,,,639
