Date,Aarau,Bern,Delemont,Karlsruhe,London,Padova,Paris,Rovereto,Schaffhausen,Schloss Marschlins,St. Petersburg,Valencia,Vevey,Zitenice,Zurich
,,,,,,,,,977.8,,,,,,
1766-01-01,,,,,,1028.6,,,,,,,,,
1766-01-02,,,,,,1018.1,,,,,,,,,
1766-01-03,,,,,,1011.6,,,,,,,,,
1766-01-04,,,,,,1014.8,,,,,,,,,
1766-01-05,,,,,,1015.3,,,,,,,,,
1766-01-06,,,,,,1014.6,,,,,,,,,
1766-01-07,,,,,,1019.3,,,,,,,,,
1766-01-08,,,,,,1017.4,,,,,,,,,
1766-01-09,,,,,,1015.3,,,,,,,,,
1766-01-10,,,,,,1014.8,,,,,,,,,
1766-01-11,,,,,,1018.5,,,,,,,,,
1766-01-12,,,,,,1027.0,,,,,,,,,
1766-01-13,,,,,,1028.1,,,,,,,,,
1766-01-14,,,,,,1031.6,,,,,,,,,
1766-01-15,,,,,,1030.7,,,,,,,,,
1766-01-16,,,,,,1032.1,,,,,,,,,
1766-01-17,,,,,,1029.5,,,,,,,,,
1766-01-18,,,,,,1025.7,,,,,,,,,
1766-01-19,,,,,,1025.0,,,,,,,,,
1766-01-20,,,,,,1026.8,,,,,,,,,
1766-01-21,,,,,,1026.9,,,,,,,,,
1766-01-22,,,,,,1033.3,,,,,,,,,
1766-01-23,,,,,,1026.0,,,,,,,,,
1766-01-24,,,,,,1024.4,,,,,,,,,
1766-01-25,,,,,,1023.9,,,,,,,,,
1766-01-26,,,,,,1028.5,,,,,,,,,
1766-01-27,,,,,,1026.0,,,,,,,,,
1766-01-28,,,,,,1029.2,,,,,,,,,
1766-01-29,,,,,,1033.6,,,,,,,,,
1766-01-30,,,,,,1032.8,,,,,,,,,
1766-01-31,,,,,,1032.2,,,,,,,,,
1766-02-01,,,,,,1028.5,,,,,,,,,
1766-02-02,,,,,,1019.9,,,,,,,,,
1766-02-03,,,,,,1013.0,,,,,,,,,
1766-02-04,,,,,,1005.0,,,,,,,,,
1766-02-05,,,,,,997.7,,,,,,,,,
1766-02-06,,,,,,996.7,,,,,,,,,
1766-02-07,,,,,,999.4,,,,,,,,,
1766-02-08,,,,,,1006.2,,,,,,,,,
1766-02-09,,,,,,1009.9,,,,,,,,,
1766-02-10,,,,,,1016.9,,,,,,,,,
1766-02-11,,,,,,1023.5,,,,,,,,,
1766-02-12,,,,,,1028.7,,,,,,,,,
1766-02-13,,,,,,1030.8,,,,,,,,,
1766-02-14,,,,,,1028.1,,,,,,,,,
1766-02-15,,,,,,1021.3,,,,,,,,,
1766-02-16,,,,,,1019.7,,,,,,,,,
1766-02-17,,,,,,1019.7,,,,,,,,,
1766-02-18,,,,,,1017.3,,,,,,,,,
1766-02-19,,,,,,1019.6,,,,,,,,,
1766-02-20,,,,,,1025.6,,,,,,,,,
1766-02-21,,,,,,1025.1,,,,,,,,,
1766-02-22,,,,,,1028.5,,,,,,,,,
1766-02-23,,,,,,1026.6,,,,,,,,,
1766-02-24,,,,,,1022.0,,,,,,,,,
1766-02-25,,,,,,1018.8,,,,,,,,,
1766-02-26,,,,,,1020.0,,,,,,,,,
1766-02-27,,,,,,1020.6,,,,,,,,,
1766-02-28,,,,,,1020.9,,,,,,,,,
1766-03-01,,,,,,1020.3,,,,,,,,,
1766-03-02,,,,,,1016.5,,,,,,,,,
1766-03-03,,,,,,1006.8,,,,,,,,,
1766-03-04,,,,,,1006.7,,,,,,,,,
1766-03-05,,,,,,1015.4,,,,,,,,,
1766-03-06,,,,,,1021.5,,,,,,,,,
1766-03-07,,,,,,1021.1,,,,,,,,,
1766-03-08,,,,,,1025.4,,,,,,,,,
1766-03-09,,,,,,1025.2,,,,,,,,,
1766-03-10,,,,,,1024.9,,,,,,,,,
1766-03-11,,,,,,1026.1,,,,,,,,,
1766-03-12,,,,,,1020.6,,,,,,,,,
