,Date,Aarau,Bern,Delemont,Karlsruhe,London,Padova,Paris,Rovereto,Schaffhausen,Schloss Marschlins,St. Petersburg,Valencia,Vevey,Zitenice,Zurich
0,1806-01-01,,952.7,975.5,1005.0,,1025.0,,1000.0,978.4,,1001.0,,970.9,,
1,1806-01-02,,944.5,960.2,999.2,,1009.6,,985.7,968.0,,992.1,,968.2,,
2,1806-01-03,,949.2,972.5,1007.4,,1008.1,,994.0,974.8,,995.1,,972.1,,
3,1806-01-04,,955.3,976.7,1013.1,,1021.9,,1005.2,980.4,,1015.3,,979.1,,
4,1806-01-05,,956.2,976.0,1008.8,,1023.7,,1001.5,980.2,,1018.7,,981.1,,
5,1806-01-06,,960.7,981.0,1012.7,,1025.3,,1004.5,983.0,,1012.5,,984.8,,
6,1806-01-07,,962.0,982.2,1015.6,,1024.6,,1003.0,985.5,,997.3,,986.6,,
7,1806-01-08,,954.5,977.0,1005.5,,1023.4,,1000.0,978.4,,999.3,,979.1,,
8,1806-01-09,,953.6,976.0,1006.5,,1018.5,,998.5,977.2,,995.1,,974.5,,
9,1806-01-10,,930.4,951.9,976.7,,1007.7,,975.4,953.2,,995.5,,951.3,,
10,1806-01-11,,927.4,951.9,977.6,,985.9,,965.4,950.7,,999.2,,948.3,,
11,1806-01-12,,917.0,943.1,971.2,,987.0,,968.4,941.9,,996.4,,936.0,,
12,1806-01-13,,938.8,963.5,991.8,,995.0,,978.6,961.7,,995.9,,962.6,,
13,1806-01-14,,951.7,974.5,1006.2,,1014.6,,998.5,976.2,,1003.9,,975.4,,
14,1806-01-15,,952.8,975.2,1003.9,,1021.1,,1003.0,975.0,,1008.4,,978.0,,
15,1806-01-16,,947.9,970.5,999.3,,1023.8,,1002.2,972.6,,1015.5,,970.2,,
16,1806-01-17,,946.8,973.0,1002.1,,1019.4,,1000.0,972.0,,1018.1,,970.1,,
17,1806-01-18,,955.1,981.2,1012.9,,1021.6,,1003.0,981.1,,1014.8,,979.1,,
18,1806-01-19,,950.4,974.0,1001.9,,1017.0,,995.5,974.2,,1012.3,,976.2,,
19,1806-01-20,,951.8,975.5,999.5,,1012.8,,990.5,973.5,,998.3,,,,
20,1806-01-21,,952.7,977.5,1005.5,,1008.9,,987.9,974.4,,998.2,,977.0,,
21,1806-01-22,,955.8,982.0,1014.5,,1016.5,,998.5,983.1,,1010.1,,979.4,,
22,1806-01-23,,956.2,981.7,1010.2,,1020.7,,997.0,981.7,,1017.2,,980.4,,
23,1806-01-24,,950.9,975.5,1003.8,,1016.9,,995.5,975.8,,1014.0,,975.4,,
24,1806-01-25,,947.9,973.7,1000.6,,1012.6,,992.5,972.7,,1009.6,,970.8,,
25,1806-01-26,,935.1,961.2,989.2,,1009.1,,986.4,961.4,,1009.9,,956.5,,
26,1806-01-27,,933.6,959.7,988.7,,1003.5,,987.9,959.1,,1008.4,,953.7,,
27,1806-01-28,,927.0,954.4,984.3,,1006.6,,983.4,954.3,,1001.7,,948.3,,
28,1806-01-29,,934.6,959.7,989.3,,1005.5,,987.5,960.0,,1010.7,,955.1,,
29,1806-01-30,,937.7,961.2,990.6,,1011.2,,993.2,963.4,,1008.9,,957.3,,
30,1806-01-31,,940.9,,995.5,,1015.0,,995.5,964.9,,1008.7,,959.7,,
31,1806-02-01,,946.3,972.7,1003.8,,1008.6,,986.1,971.9,947.5,1012.9,,969.1,,
32,1806-02-02,,947.2,952.4,1006.8,,1004.8,,987.6,972.8,947.0,1027.0,,969.0,,
33,1806-02-03,,942.3,968.5,1000.7,,1009.8,,992.2,969.9,945.0,1035.2,,964.9,,
34,1806-02-04,,945.3,970.7,1000.5,,1013.3,,996.7,969.4,948.0,1038.7,,969.1,,
35,1806-02-05,,951.7,976.7,1008.4,,1021.1,,1002.7,975.6,953.8,1045.5,,974.0,,
36,1806-02-06,,953.4,978.5,1008.3,,1022.0,,1003.4,979.8,954.9,1046.3,,976.5,,
37,1806-02-07,,950.4,975.2,1005.0,,1022.2,,1001.2,977.4,955.1,1040.8,,972.7,,
38,1806-02-08,,950.0,975.2,1004.4,,1019.5,,999.7,975.4,951.0,1035.3,,973.3,,
