,station,lat,lon,real_lat,real_lon
0,Barcelona,55,45,41.390205,2.154007
1,CBT,41,48,50.85045,4.34878
2,HAD_CET,39,39,52.5,-1.9
3,AG01_Aarau_Zschogge,46,53,47.393,8.043
4,BE01_Bern_Fueter,47,53,46.94812,7.45196
5,BE01_Bern_Studer,47,53,46.94812,7.45196
6,GR04_Marschlins,47,56,46.96,9.58
7,JU01_Delemont,46,52,47.3653,7.34336
8,SH01_Schaffhausen,46,54,47.696,8.639
9,VD01_Vevey,47,52,46.46015,6.84447
10,DigiHom_Geneva,48,51,46.23,6.15
11,KNMI-42_Zwanenburg,39,49,52.38,4.74
12,KNMI-44_Haarlem,39,49,52.38,4.64
13,KNMI-45_Delfft2,39,49,52.1014,5.1867
14,Mulhouse,45,52,47.748611,7.339444
15,Padova,49,59,45.40797,11.88586
16,Europe_Rovereto_1,48,58,45.9,11.05
17,Europe_StPetersburg,28,85,59.93,30.27
18,GCOS_Zurich_Feer,46,54,47.37162,8.54398
19,IMPROVE_Cadiz,61,34,36.53,-5.705
20,IMPROVE_Milan,49,55,45.47,9.19
21,IMPROVE_Stockholm,29,68,59.35,18.05
22,IMPROVE_StPetersburg,28,85,59.9667,30.3
23,IMPROVE_Uppsala,28,67,59.8605,17.6407
24,CRU_Paris,44,45,48.86,2.34
25,Prague,42,62,50.073658,14.41
26,Dom_Valencia,57,41,39.47,-0.38
27,GVE,48,51,46.19861,6.14527
28,HOH,45,58,47.8,11.02
29,TOR,49,53,45.07,7.68
30,Ylitornio,19,76,66.319266,23.67097
31,Brug_Zitenice,41,62,50.55,14.16
