Date,5905_WIEN,BAS_ta,BOL_ta,Gdansk 'Excel sheet by Rajmund Przybylak,Zurich
1807-01-01,0.4,1.57,0.3408,-1.1,0.5
1807-01-02,0.4,-0.43,1.3408,-0.8,-2.5
1807-01-03,2.5,-1.93,0.4408,4.8,-2.4
1807-01-04,1.9,-0.53,0.8408,-1.5,-2.6
1807-01-05,0.0,0.77,0.4408,-2.7,
1807-01-06,1.3,-1.63,0.5408,-2.4,-1.5
1807-01-07,3.8,-3.43,0.7408,-0.2,-2.2
1807-01-08,5.6,-3.83,1.3408,3.9,0.2
1807-01-09,6.3,-4.83,0.7408,-1.5,-3.8
1807-01-10,1.3,-4.83,0.7408,0.4,-4.3
1807-01-11,2.3,-3.73,0.5408,1.2,-4.0
1807-01-12,5.4,-3.93,-0.1592,2.9,-4.3
1807-01-13,6.6,0.87,1.6408,1.7,0.8
1807-01-14,0.0,2.17,0.1408,-3.5,-1.6
1807-01-15,-1.3,-1.03,1.0408,-4.4,-3.9
1807-01-16,-1.9,3.47,1.6408,-4.1,0.6
1807-01-17,2.3,4.57,-0.8592,-1.5,3.5
1807-01-18,1.9,5.87,0.7408,1.7,4.5
1807-01-19,3.8,3.97,-0.1592,1.1,-0.1
1807-01-20,2.5,2.87,1.0408,-1.0,1.1
1807-01-21,-1.0,0.37,0.4408,-3.6,-1.3
1807-01-22,2.3,3.27,0.4408,-9.1,-0.8
1807-01-23,1.0,1.07,1.0408,-6.1,1.4
1807-01-24,-1.6,-1.43,1.6408,-3.6,-0.7
1807-01-25,-2.3,-1.43,1.6408,0.1,-2.5
1807-01-26,-1.6,-0.73,1.6408,-1.8,-2.6
1807-01-27,0.0,-3.53,1.9408,0.4,-2.0
1807-01-28,-0.6,1.97,2.2408,-1.5,-2.4
1807-01-29,-1.6,-6.63,-1.1592,1.1,-6.0
1807-01-30,0.6,-12.83,-0.6592,-1.5,-7.4
1807-01-31,-2.3,-6.23,-0.5592,0.7,-6.4
1807-02-01,-4.4,-9.27,-2.1092,-0.8,-7.6
1807-02-02,-1.0,-7.17,-0.309199999999999,-2.8,-5.4
1807-02-03,-2.3,-4.47,2.1908,-3.7,-3.8
1807-02-04,0.4,1.03,-0.309199999999999,-4.2,1.4
1807-02-05,1.0,4.93,1.9908,-2.3,4.1
1807-02-06,4.8,4.43,3.4908,0.5,3.8
1807-02-07,1.0,2.53,4.2908,0.3,0.7
1807-02-08,2.5,3.03,4.1908,-0.8,2.2
1807-02-09,3.8,5.23,4.8908,-4.0,5.0
1807-02-10,6.3,4.53,3.6908,2.1,3.3
1807-02-11,5.6,5.93,6.3908,1.1,5.6
1807-02-12,10.6,6.13,7.5908,3.2,7.1
1807-02-13,10.0,4.73,7.1908,0.5,2.7
1807-02-14,10.0,4.23,6.0908,2.4,5.5
1807-02-15,10.0,2.03,6.6908,2.7,4.7
1807-02-16,7.5,3.63,8.0908,3.6,5.3
1807-02-17,5.4,8.03,6.3908,6.0,5.9
1807-02-18,6.9,2.13,9.5908,2.1,0.9
