Date,BAS_p,Gdansk 'Excel sheet by Rajmund Przybylak,Zurich
1807-01-01,996.33,1015.8,978.3
1807-01-02,999.23,1027.9,981.5
1807-01-03,994.93,1014.3,975.3
1807-01-04,992.43,999.2,
1807-01-05,993.63,1015.8,
1807-01-06,996.83,1021.8,979.3
1807-01-07,998.93,1014.3,977.2
1807-01-08,989.63,1008.3,971.1
1807-01-09,985.93,1024.9,968.0
1807-01-10,988.73,1021.8,971.2
1807-01-11,991.73,1021.8,975.0
1807-01-12,988.73,1009.8,970.4
1807-01-13,980.53,1002.2,960.7
1807-01-14,983.63,996.2,964.3
1807-01-15,987.93,1012.8,969.1
1807-01-16,978.43,997.7,960.8
1807-01-17,985.63,1014.3,966.6
1807-01-18,974.03,1005.3,955.0
1807-01-19,974.93,1002.2,955.7
1807-01-20,957.23,1000.7,943.9
1807-01-21,965.23,1006.8,938.3
1807-01-22,975.53,1015.8,945.2
1807-01-23,,1011.3,951.8
1807-01-24,990.63,1020.3,965.9
1807-01-25,993.53,1029.4,973.4
1807-01-26,993.83,1036.9,976.0
1807-01-27,994.33,1023.3,975.0
1807-01-28,991.83,1024.9,976.6
1807-01-29,988.03,1018.8,972.7
1807-01-30,981.13,1018.8,969.8
1807-01-31,,1012.8,962.9
1807-02-01,971.63,1009.8,955.4
1807-02-02,972.33,1009.8,955.1
1807-02-03,959.83,1006.8,942.5
1807-02-04,967.53,1002.2,956.8
1807-02-05,967.83,1003.7,951.7
1807-02-06,971.13,999.2,951.7
1807-02-07,975.83,996.2,955.0
1807-02-08,979.93,1008.3,964.9
1807-02-09,979.63,1008.3,961.9
1807-02-10,978.93,990.2,958.3
1807-02-11,985.03,1008.3,968.5
1807-02-12,995.23,1005.2,977.5
1807-02-13,993.03,1029.4,977.6
1807-02-14,993.43,1027.9,977.0
1807-02-15,990.13,1029.4,974.1
1807-02-16,987.03,1021.8,971.7
1807-02-17,977.83,1009.8,961.3
1807-02-18,958.03,1000.7,947.0
1807-02-19,971.33,1005.2,959.9
1807-02-20,975.73,1021.8,971.5
1807-02-21,973.23,1009.8,968.0
1807-02-22,972.13,1003.7,968.8
1807-02-23,967.63,999.2,963.0
1807-02-24,970.83,1011.3,966.0
1807-02-25,971.43,1012.8,966.3
1807-02-26,968.13,1005.3,960.1
1807-02-27,966.83,1009.8,961.7
1807-02-28,972.93,1029.4,969.4
1807-03-01,993.94,1030.8,978.1
1807-03-02,991.64,1033.8,974.7
1807-03-03,984.34,1029.3,966.7
1807-03-04,975.34,1012.7,957.2
1807-03-05,967.74,1003.7,948.6
1807-03-06,972.54,1006.7,954.7
1807-03-07,972.74,1011.2,955.4
1807-03-08,970.44,1020.2,951.6
1807-03-09,965.34,1003.7,946.3
1807-03-10,975.14,1017.2,958.5
1807-03-11,977.64,1030.0,961.0
1807-03-12,980.74,1031.0,964.2
1807-03-13,979.94,1030.8,963.5
1807-03-14,978.94,1017.2,962.3
1807-03-15,975.44,999.1,956.4
1807-03-16,972.84,1012.7,955.3
1807-03-17,969.34,1009.7,951.8
1807-03-18,975.54,1012.7,958.8
1807-03-19,981.04,1003.7,964.1
1807-03-20,986.54,1012.7,969.4
1807-03-21,989.54,1021.7,973.5
1807-03-22,990.54,1026.3,974.0
1807-03-23,990.04,1041.3,974.2
1807-03-24,987.04,1036.8,971.8
1807-03-25,982.94,1032.3,965.6
1807-03-26,976.44,1021.7,964.4
1807-03-27,969.94,1017.2,
1807-03-28,970.34,1012.7,951.5
1807-03-29,967.74,1014.2,948.6
1807-03-30,968.34,1012.7,950.9
1807-03-31,969.84,1009.7,951.8
1807-04-01,967.03,1012.7,950.7
1807-04-02,970.73,1015.7,954.5
1807-04-03,975.93,1014.2,960.6
1807-04-04,978.73,1021.7,964.0
1807-04-05,984.23,1029.2,972.2
1807-04-06,982.73,1023.2,969.8
1807-04-07,981.63,1017.2,968.9
1807-04-08,984.13,1021.7,968.8
1807-04-09,986.13,1021.7,
1807-04-10,986.73,1017.2,
1807-04-11,981.83,1014.2,
1807-04-12,975.03,1005.1,
1807-04-13,966.53,1009.7,
1807-04-14,965.63,1003.6,
1807-04-15,957.63,1002.1,
1807-04-16,960.53,994.6,
1807-04-17,966.03,994.6,
1807-04-18,969.83,1000.6,
1807-04-19,974.03,1012.7,
1807-04-20,977.43,1012.7,
1807-04-21,979.93,1021.7,
1807-04-22,979.93,1029.2,
1807-04-23,981.43,1030.7,
1807-04-24,984.13,1029.8,
1807-04-25,984.63,1018.0,
1807-04-26,986.93,1021.0,
1807-04-27,989.43,1025.7,
1807-04-28,987.43,1023.3,
1807-04-29,984.63,1021.7,
1807-04-30,981.93,1018.7,
1807-05-01,981.78,1021.7,
1807-05-02,979.48,1021.7,
1807-05-03,976.18,1018.6,
1807-05-04,973.18,1026.2,
1807-05-05,966.68,1021.7,
1807-05-06,963.68,1008.1,
1807-05-07,971.18,1001.6,
1807-05-08,979.38,1000.8,964.3
1807-05-09,986.28,1002.6,958.5
1807-05-10,983.78,1006.6,955.5
1807-05-11,979.48,1009.6,964.3
1807-05-12,978.68,1021.7,962.4
1807-05-13,977.68,1012.6,960.9
1807-05-14,982.68,1012.6,966.0
1807-05-15,984.58,1018.6,967.8
1807-05-16,986.58,1023.2,970.5
1807-05-17,986.58,1030.7,970.1
1807-05-18,986.08,1023.9,968.8
1807-05-19,986.68,1017.1,969.0
1807-05-20,983.68,1027.7,967.5
1807-05-21,980.98,1024.7,965.5
1807-05-22,984.68,1024.7,969.0
1807-05-23,986.18,1023.2,971.0
1807-05-24,983.98,1021.7,967.3
1807-05-25,979.08,1021.7,963.0
1807-05-26,982.08,1024.7,965.3
1807-05-27,983.58,1018.6,967.6
1807-05-28,979.08,1018.6,963.5
1807-05-29,970.58,1021.7,952.4
1807-05-30,976.28,1020.2,960.2
1807-05-31,980.88,1029.2,968.1
1807-06-01,982.12,1030.6,966.6
1807-06-02,983.12,1024.6,967.2
1807-06-03,981.92,1020.1,964.6
1807-06-04,980.42,1018.6,965.0
1807-06-05,982.92,1021.6,968.2
1807-06-06,982.12,1027.6,964.9
1807-06-07,976.72,1027.6,962.0
1807-06-08,975.92,1027.6,960.5
1807-06-09,978.22,1024.6,961.9
1807-06-10,983.02,1023.1,973.3
1807-06-11,991.32,1023.1,973.7
1807-06-12,986.92,1017.9,970.2
1807-06-13,988.32,1015.6,971.8
1807-06-14,987.02,1014.1,970.7
1807-06-15,981.52,1012.6,965.8
1807-06-16,980.12,1015.6,962.8
1807-06-17,980.62,1014.1,
1807-06-18,983.32,1014.1,
1807-06-19,985.62,1014.8,
1807-06-20,983.22,1017.1,966.9
1807-06-21,988.02,1017.1,972.0
1807-06-22,986.22,1009.6,970.0
1807-06-23,982.72,997.5,965.7
1807-06-24,982.12,1006.6,965.9
1807-06-25,981.62,1006.6,965.2
1807-06-26,979.62,1012.6,963.5
1807-06-27,980.52,1003.5,963.4
1807-06-28,979.22,1005.1,962.9
1807-06-29,975.62,1011.1,959.0
1807-06-30,972.92,1012.6,956.2
1807-07-01,972.97,1011.0,958.6
1807-07-02,978.47,1012.5,962.1
1807-07-03,981.07,1015.5,965.5
1807-07-04,980.47,1015.5,965.9
1807-07-05,979.97,1012.5,964.8
1807-07-06,974.47,1017.0,960.1
1807-07-07,982.37,1012.5,967.0
1807-07-08,985.57,1015.5,970.1
1807-07-09,984.87,1012.5,969.2
1807-07-10,982.17,1011.0,966.1
1807-07-11,977.37,1015.5,962.4
1807-07-12,981.67,1021.6,965.3
1807-07-13,983.07,1023.0,966.4
1807-07-14,984.27,1012.5,967.8
1807-07-15,980.97,1015.5,963.6
1807-07-16,980.67,1009.5,964.3
1807-07-17,981.97,1014.0,966.4
1807-07-18,982.47,1015.5,966.0
1807-07-19,,1017.0,966.4
1807-07-20,979.77,1017.0,963.6
1807-07-21,976.97,1018.5,962.1
1807-07-22,975.17,1018.5,960.7
1807-07-23,975.17,1018.5,960.6
1807-07-24,978.67,1018.5,964.4
1807-07-25,980.47,1018.5,962.8
1807-07-26,977.77,1018.5,961.3
1807-07-27,981.77,1021.5,964.9
1807-07-28,980.37,1024.6,963.6
1807-07-29,977.37,1023.0,960.9
1807-07-30,975.57,1020.0,960.0
1807-07-31,977.07,1020.0,959.4
1807-08-01,979.59,1018.5,962.2
1807-08-02,975.79,1018.5,960.7
1807-08-03,,1015.5,962.6
1807-08-04,,1018.5,964.3
1807-08-05,,1018.5,965.9
1807-08-06,,1015.5,967.5
1807-08-07,977.09,1020.1,965.6
1807-08-08,981.39,1021.6,964.9
1807-08-09,980.29,1018.5,963.7
1807-08-10,979.59,1018.5,963.9
1807-08-11,980.29,1014.8,963.1
1807-08-12,977.39,1017.0,960.9
1807-08-13,977.89,1018.5,961.3
1807-08-14,974.99,1018.5,959.4
1807-08-15,978.99,1018.5,965.5
1807-08-16,984.79,1021.6,968.5
1807-08-17,981.99,1024.6,966.7
1807-08-18,978.89,1024.6,962.9
1807-08-19,978.39,1021.6,962.9
1807-08-20,979.19,1018.5,963.2
1807-08-21,978.99,1015.5,963.5
1807-08-22,979.19,1018.5,963.1
1807-08-23,980.89,1018.5,966.7
1807-08-24,980.09,1018.5,964.9
1807-08-25,982.19,1015.5,966.8
1807-08-26,983.79,1021.6,968.1
1807-08-27,981.49,1021.6,965.9
1807-08-28,982.29,1023.1,965.8
1807-08-29,981.99,1018.5,965.5
1807-08-30,981.99,1020.1,965.6
1807-08-31,,1015.5,966.4
1807-09-01,984.74,1014.1,968.6
1807-09-02,984.54,1012.6,968.3
1807-09-03,982.74,1015.6,966.6
1807-09-04,979.64,1018.6,963.5
1807-09-05,975.94,1012.6,961.1
1807-09-06,970.04,1014.1,956.6
1807-09-07,977.74,1012.6,960.5
1807-09-08,984.74,1012.6,968.6
1807-09-09,982.34,1018.6,967.1
1807-09-10,981.64,1002.1,965.0
1807-09-11,980.44,1008.1,964.7
1807-09-12,974.94,1011.1,956.6
1807-09-13,976.54,1002.1,960.0
1807-09-14,978.24,1009.6,962.3
1807-09-15,979.04,1009.6,963.0
1807-09-16,977.04,1011.8,960.6
1807-09-17,976.04,1015.6,959.3
1807-09-18,968.14,1015.6,955.5
1807-09-19,973.04,1014.1,956.1
1807-09-20,986.04,1014.1,970.6
1807-09-21,986.34,1012.6,970.8
1807-09-22,981.64,1006.5,968.1
1807-09-23,978.24,1008.1,961.9
1807-09-24,974.94,1012.6,958.7
1807-09-25,965.74,1011.1,951.0
1807-09-26,973.84,997.5,958.2
1807-09-27,980.44,1002.0,961.5
1807-09-28,975.04,1002.0,959.7
1807-09-29,982.24,1009.6,965.4
1807-09-30,975.24,1005.1,959.1
1807-10-01,973.79,997.6,969.4
1807-10-02,988.09,1014.1,971.9
1807-10-03,987.79,1024.7,972.6
1807-10-04,988.69,1023.2,971.3
1807-10-05,986.69,1023.2,969.9
1807-10-06,985.89,1023.2,968.4
1807-10-07,986.39,1021.7,968.8
1807-10-08,984.09,1014.1,967.3
1807-10-09,987.19,999.1,969.6
1807-10-10,988.69,1008.1,971.3
1807-10-11,990.59,1017.2,973.0
1807-10-12,988.39,1014.1,972.1
1807-10-13,992.19,1020.2,974.3
1807-10-14,992.49,1029.2,975.4
1807-10-15,990.49,1029.2,973.0
1807-10-16,989.69,1021.7,972.1
1807-10-17,987.79,1018.7,970.7
1807-10-18,988.29,1014.1,970.9
1807-10-19,991.29,1013.4,972.7
1807-10-20,983.99,1021.7,965.4
1807-10-21,974.99,1026.2,960.7
1807-10-22,970.89,1027.7,954.9
1807-10-23,965.79,1017.2,949.9
1807-10-24,967.79,1012.6,953.1
1807-10-25,976.09,1012.6,958.9
1807-10-26,973.69,1021.7,956.4
1807-10-27,967.69,1006.6,949.7
1807-10-28,976.99,1000.6,959.5
1807-10-29,973.29,999.1,955.4
1807-10-30,970.09,997.6,950.7
1807-10-31,970.39,997.6,951.8
1807-11-01,984.9,1014.2,967.7
1807-11-02,982.6,1018.0,966.2
1807-11-03,972.0,1005.2,954.0
1807-11-04,970.3,1003.7,952.3
1807-11-05,974.0,1003.7,955.9
1807-11-06,974.7,1006.7,957.3
1807-11-07,971.8,1003.7,955.6
1807-11-08,968.6,1003.7,950.1
1807-11-09,972.4,1011.2,953.0
1807-11-10,972.7,1012.7,956.3
1807-11-11,971.3,1009.7,953.8
1807-11-12,973.4,1011.2,954.6
1807-11-13,977.9,1011.2,960.0
1807-11-14,971.3,1012.7,966.3
1807-11-15,976.0,1024.8,960.4
1807-11-16,975.6,1029.3,957.9
1807-11-17,977.4,1021.8,960.1
1807-11-18,973.8,999.1,956.6
1807-11-19,967.4,996.1,950.3
1807-11-20,966.7,1008.2,949.9
1807-11-21,973.6,1000.7,956.0
1807-11-22,977.2,1014.2,960.7
1807-11-23,971.9,1021.8,952.2
1807-11-24,972.8,1011.2,953.6
1807-11-25,978.7,1014.2,959.9
1807-11-26,974.5,1012.7,957.4
