folder,ID,Name,Lat,Lon,Alt,Vbl,Stat,Units,Source,Link,year_start,year_end,n_records,n_unique_years,filepath
Paris,Paris_Rousseau,Paris_Rousseau,48.8217,2.3378,75,Tn,min,C,Rousseau,doi.org/10.37053/lameteorologie-2024-0083,1675,2023,121787,338,/scratch3/PALAEO-RA/daily_data/final/Paris/Rousseau_Paris_16751201-20231231_Tn_daily.tsv
Milan,Milan,Milan,45.47,9.19,150,Tn,min,C,"Maugeri, Maurizio et al. “Daily Milan temperature and pressure series (1763-1998): Completing and homogenising the data.” Climatic Change 53 (2002): 119-149.",https://doi.org/10.1023/A:1014923027396,1763,1949,68300,187,/scratch3/PALAEO-RA/daily_data/final/Milan/Maugeri-et-al_Milan_17630101-19491231_Tn_daily_qc.tsv
Central-Belgium-Temperature,CBT,Central Belgium Temperature,50.85045,4.34878,13,Tn,min,C,"Demarée, Gaston R. et al. “The Long-Term Daily Central Belgium Temperature (CBT) Series (1767–1998) and Early Instrumental Meteorological Observations in Belgium.” Climatic Change 53 (2002): 269-293.",https://doi.org/10.1023/A:1014931211466,1767,1899,43984,121,/scratch3/PALAEO-RA/daily_data/final/Central-Belgium-Temperature/GastonDemaree_Central-Belgium-Temperature_17670101-18991231_Tn_daily_qc.tsv
Padua,Padua,Padua,45.4,11.87,18,Tn,min,C,"Stefanini, Claudio; Becherini, Francesca; della Valle, Antonio; Camuffo, Dario (2024). Padua daily temperature 1725-2023. figshare. Dataset.",https://doi.org/10.6084/m9.figshare.25471507.v1,1774,1997,81453,224,/scratch3/PALAEO-RA/daily_data/final/Padua/Stefanini_Padua_17740101-19970531_Tn_daily_qc.tsv
Cadiz,Cadiz,Cadiz,36.516667,-6.283333,13,Tn,min,C,"Barriendos, Mariano et al. “DAILY METEOROLOGICAL OBSERVATIONS IN CADIZ­ SAN FERNANDO. ANALYSIS OF THE DOCUMENTARY SOURCES AND THE INSTRUMENTAL DATA CONTENT (1786-1996).” Climatic Change 53 (2002): 151-170.",https://doi.org/10.1007/978-94-010-0371-1_6,1786,1949,109235,159,/scratch3/PALAEO-RA/daily_data/final/Cadiz/Barriendos_Cadiz_17860101-19491231_Tn_daily_qc.tsv
Sevilla,Se1803-1830,Sevilla,36.3833,-5.9833,11,Tn,minimum,C,"Mature, J. (ed.). 1803-1807. El Correo Literario y Económico de Sevilla. Biblioteca de la Universidad de Sevilla, A059/042-051 (http://fondosdigitales.us.es)",http://hdl.handle.net/10835/6806,1803,1806,21,4,/scratch3/PALAEO-RA/daily_data/final/Sevilla/EMOSSv2_Sevilla_18031001-18061231_Tn_daily_qc.tsv
GrandStBernard,GrandStBernard,Grand St. Bernard,45.869,7.17068,2491,Tn,minimum,C,DIGIHOM,,1825,1863,13028,39,/scratch3/PALAEO-RA/daily_data/final/GrandStBernard/DIGIHOM_GrandStBernard_18250213-18631130_Tn_daily_qc.tsv
Basel,Basel_Fuerstenberger,Basel,47.56085,7.58222,270,Tn,min,C,GCOS,https://doi.pangaea.de/10.1594/PANGAEA.948258,1826,1828,427,3,/scratch3/PALAEO-RA/daily_data/final/Basel/GCOS_Basel_Fuerstenberger_18260401-18281102_Tn_daily_qc.tsv
Herisau,AR01_Herisau_Merz,Herisau,47.385,9.279,770,Tn,min,C,CHIMES,https://doi.org/10.5194/cp-15-1345-2019,1827,1828,456,2,/scratch3/PALAEO-RA/daily_data/final/Herisau/CHIMES_Herisau_Merz_18270207-18280514_Tn_daily_qc.tsv
Basel,Basel_Merian,Basel,47.56267,7.58445,268,Tn,min,C,GCOS,https://doi.pangaea.de/10.1594/PANGAEA.948258,1828,1863,9252,28,/scratch3/PALAEO-RA/daily_data/final/Basel/GCOS_Basel_Merian_18281024-18631231_Tn_daily_qc.tsv
