window,event,folder,ID,Name,Vbl,Source,Link,year_start,year_end,Lat,Lon
1860s spike,START,Aalesund,Ålesund,Ålesund,p,frost.met.no,DOI 10.5281/zenodo.5940391,1864,1866,62.4755,6.1508
1860s spike,END,Aalesund,Ålesund,Ålesund,p,frost.met.no,DOI 10.5281/zenodo.5940391,1864,1866,62.4755,6.1508
1860s spike,END,Aarau,AG01_Aarau_Zschogge,Aarau,p,CHIMES,https://doi.org/10.5194/cp-15-1345-2019,1807,1865,47.393,8.043
1860s spike,END,Aarau,AG01_Aarau_Zschogge,Aarau,ta,CHIMES,https://doi.org/10.5194/cp-15-1345-2019,1807,1865,47.393,8.043
1860s spike,START,Aarau,AG01_Aarau_Zschogge,Aarau,rr,CHIMES,https://doi.org/10.5194/cp-15-1345-2019,1857,1865,47.393,8.043
1860s spike,END,Aarau,AG01_Aarau_Zschogge,Aarau,rr,CHIMES,https://doi.org/10.5194/cp-15-1345-2019,1857,1865,47.393,8.043
1860s spike,START,Aberdeen,WMO-3091,Aberdeen,p,CRU,https://sites.uea.ac.uk/cru/,1861,1995,57.16,-2.1
1860s spike,START,Aberdeen,ABERDEEN,ABERDEEN,p,EMULATE,DOI 10.5281/zenodo.5940391,1861,1877,57.2000,-2.2000
1860s spike,START,Aberdeen,DWRUK_ABERDEEN,Aberdeen Observatory,p,DWR_UKMO,DOI 10.5281/zenodo.5940391,1861,1875,57.164128,-2.100822
1860s spike,START,Aberdeen,DWRUK_ABERDEEN,Aberdeen Observatory,ta,DWR_UKMO,DOI 10.5281/zenodo.5940391,1861,1875,57.16413,-2.10082
1860s spike,START,Aberdeen,DWRUK_ABERDEEN,Aberdeen Observatory,ta,DWR_UKMO,DOI 10.5281/zenodo.5940391,1861,1875,57.164128,-2.100822
1860s spike,START,Aberdeen,DWRUK_ABERDEEN,Aberdeen Observatory,rr,DWR_UKMO,DOI 10.5281/zenodo.5940391,1861,1875,57.164128,-2.100822
1860s spike,START,Alange,BAALAN1,Extremadura-Alange,p,"Vaquero, José Manuel; Bravo-Paredes, Nieves; Obregón, María Angeles; Sánchez-Carrasco, Víctor Manuel; Valente, Maria Antónia; Trigo, Ricardo M; Domínguez-Castro, Fernando; Montero-Martín, Javier; Vaquero-Martínez, Javier; Antón, Manuel; García, José Agustín; Gallego, María Cruz (2020): Early meteorological records from BAALAN1 (1866). PANGAEA.",https://doi.pangaea.de/10.1594/PANGAEA.925805,1866,1866,38.784444,-6.243611
1860s spike,END,Alange,BAALAN1,Extremadura-Alange,p,"Vaquero, José Manuel; Bravo-Paredes, Nieves; Obregón, María Angeles; Sánchez-Carrasco, Víctor Manuel; Valente, Maria Antónia; Trigo, Ricardo M; Domínguez-Castro, Fernando; Montero-Martín, Javier; Vaquero-Martínez, Javier; Antón, Manuel; García, José Agustín; Gallego, María Cruz (2020): Early meteorological records from BAALAN1 (1866). PANGAEA.",https://doi.pangaea.de/10.1594/PANGAEA.925805,1866,1866,38.784444,-6.243611
1860s spike,START,Alange,BAALAN1,Extremadura-Alange,rh,"Vaquero, José Manuel; Bravo-Paredes, Nieves; Obregón, María Angeles; Sánchez-Carrasco, Víctor Manuel; Valente, Maria Antónia; Trigo, Ricardo M; Domínguez-Castro, Fernando; Montero-Martín, Javier; Vaquero-Martínez, Javier; Antón, Manuel; García, José Agustín; Gallego, María Cruz (2020): Early meteorological records from BAALAN1 (1866). PANGAEA.",https://doi.pangaea.de/10.1594/PANGAEA.925805,1866,1866,38.784444,-6.243611
1860s spike,END,Alange,BAALAN1,Extremadura-Alange,rh,"Vaquero, José Manuel; Bravo-Paredes, Nieves; Obregón, María Angeles; Sánchez-Carrasco, Víctor Manuel; Valente, Maria Antónia; Trigo, Ricardo M; Domínguez-Castro, Fernando; Montero-Martín, Javier; Vaquero-Martínez, Javier; Antón, Manuel; García, José Agustín; Gallego, María Cruz (2020): Early meteorological records from BAALAN1 (1866). PANGAEA.",https://doi.pangaea.de/10.1594/PANGAEA.925805,1866,1866,38.784444,-6.243611
1860s spike,START,Alange,BAALAN1,Extremadura-Alange,ta,"Vaquero, José Manuel; Bravo-Paredes, Nieves; Obregón, María Angeles; Sánchez-Carrasco, Víctor Manuel; Valente, Maria Antónia; Trigo, Ricardo M; Domínguez-Castro, Fernando; Montero-Martín, Javier; Vaquero-Martínez, Javier; Antón, Manuel; García, José Agustín; Gallego, María Cruz (2020): Early meteorological records from BAALAN1 (1866). PANGAEA.",https://doi.pangaea.de/10.1594/PANGAEA.925805,1866,1866,38.784444,-6.243611
1860s spike,END,Alange,BAALAN1,Extremadura-Alange,ta,"Vaquero, José Manuel; Bravo-Paredes, Nieves; Obregón, María Angeles; Sánchez-Carrasco, Víctor Manuel; Valente, Maria Antónia; Trigo, Ricardo M; Domínguez-Castro, Fernando; Montero-Martín, Javier; Vaquero-Martínez, Javier; Antón, Manuel; García, José Agustín; Gallego, María Cruz (2020): Early meteorological records from BAALAN1 (1866). PANGAEA.",https://doi.pangaea.de/10.1594/PANGAEA.925805,1866,1866,38.784444,-6.243611
