Year,Tn,Tx,dd,eee,fs,p,rh,rr,rrt,ta,w,Total
190,0,1,0,0,0,0,0,0,0,0,0,1
1658,0,0,0,0,0,0,0,0,0,1,0,1
1659,0,0,0,0,0,0,0,0,0,1,0,1
1660,0,0,0,0,0,0,0,0,0,1,0,1
1665,0,0,0,0,0,0,0,1,0,1,0,2
1666,0,0,1,0,0,1,0,1,0,2,0,5
1667,0,0,1,0,0,1,0,1,0,2,0,5
1668,0,0,0,0,0,0,0,1,0,1,0,2
1669,0,0,0,0,0,0,0,1,0,1,0,2
1670,0,0,0,0,0,1,0,1,0,1,0,3
1671,0,0,0,0,0,1,0,1,0,1,0,3
1672,0,0,1,0,0,1,0,1,0,1,0,4
1673,0,0,0,0,0,1,0,1,0,1,0,3
1674,0,0,1,0,0,1,0,1,0,1,0,4
1675,1,1,1,0,0,1,0,1,0,2,0,7
1676,1,1,0,0,0,1,0,1,0,2,0,6
1677,1,1,0,0,0,1,0,1,0,2,0,6
1678,1,1,0,0,0,1,0,1,0,2,0,6
1679,1,1,0,0,0,1,0,1,0,2,0,6
1680,1,1,0,0,0,1,0,1,0,2,0,6
1681,1,1,1,0,0,2,0,1,0,3,0,9
1682,1,1,1,0,0,2,0,1,0,3,0,9
1683,1,1,1,0,0,2,0,1,0,3,0,9
1684,1,1,0,0,0,3,0,1,0,3,0,9
1685,1,1,0,0,0,2,0,1,0,3,0,8
1686,1,1,0,0,0,2,0,1,0,3,0,8
1687,1,1,0,0,0,1,0,1,0,2,0,6
1688,1,1,0,0,0,1,0,1,0,2,0,6
1689,1,1,0,0,0,1,0,1,0,2,0,6
1690,1,1,0,0,0,1,0,1,0,2,0,6
1691,1,1,0,0,0,3,0,1,0,3,0,9
1692,1,1,0,0,0,4,0,1,0,3,0,10
1693,1,1,0,0,0,5,0,1,0,3,0,11
1694,1,1,0,0,0,4,0,1,0,3,0,10
1695,1,1,0,0,0,3,0,1,0,2,0,8
1696,1,1,0,0,0,3,0,1,0,2,0,8
1697,1,1,1,0,0,6,0,2,0,3,0,14
1698,1,1,1,0,0,5,0,1,0,3,0,12
1699,1,1,0,0,0,4,0,1,0,2,0,9
1700,1,1,1,0,0,5,0,1,0,3,0,12
1701,1,1,0,0,0,4,0,1,0,2,0,9
1702,1,1,2,0,0,6,0,1,0,3,0,14
1703,1,1,0,0,0,4,0,1,0,2,0,9
1704,1,1,0,0,0,3,0,1,0,2,0,8
1705,1,1,1,0,0,4,0,1,0,2,0,10
1706,1,1,1,0,0,4,0,1,0,3,0,11
1707,1,1,1,0,0,4,0,1,0,3,0,11
1708,1,1,2,0,0,6,0,3,0,3,0,16
1709,1,1,1,0,0,8,0,2,0,18,0,31
1710,1,1,0,0,0,4,0,1,0,5,0,12
1711,1,1,0,0,0,4,0,1,0,5,0,12
1712,1,1,0,0,0,4,0,1,0,5,0,12
1713,1,1,0,0,0,4,0,1,0,5,0,12
1714,0,1,0,0,0,4,0,0,0,4,0,9
1715,0,1,0,0,0,4,0,1,0,4,0,10
1716,0,1,0,0,0,5,0,1,0,4,0,11
1717,0,1,1,0,0,7,0,2,0,5,0,16
1718,0,1,3,0,0,8,0,3,0,6,0,21
1719,1,1,2,0,0,6,0,2,0,5,0,17
1720,1,1,4,0,0,9,0,3,0,8,0,26
