SEF	1.0.0
ID	KNMI-42_Zwanenburg
Name	Zwanenburg
Lat	52.38
Lon	4.74
Alt	1
Source	KNMI
Link	
Vbl	p
Stat	mean
Units	hPa
Meta	PGC=Y|PTC=N|QC software=dataresqc v1.1.0 | Orig.res=subdaily | Diurnal cycle=Y
Year	Month	Day	Hour	Minute	Period	Value	Meta
1738	1	1	NA	NA	day	1014.35948387097	homadj=-34.54
1738	1	2	NA	NA	day	1012.95948387097	homadj=-34.54
1738	1	3	NA	NA	day	1015.35948387097	homadj=-34.54
1738	1	4	NA	NA	day	1020.95948387097	homadj=-34.54
1738	1	5	NA	NA	day	1023.15948387097	homadj=-34.54
1738	1	6	NA	NA	day	1022.15948387097	homadj=-34.54
1738	1	7	NA	NA	day	1022.85948387097	homadj=-34.54
1738	1	8	NA	NA	day	1026.75948387097	homadj=-34.54
1738	1	9	NA	NA	day	1022.45948387097	homadj=-34.54
1738	1	10	NA	NA	day	1013.45948387097	homadj=-34.54
1738	1	11	NA	NA	day	1010.05948387097	homadj=-34.54
1738	1	12	NA	NA	day	1011.95948387097	homadj=-34.54
1738	1	13	NA	NA	day	1012.45948387097	homadj=-34.54
1738	1	14	NA	NA	day	1009.55948387097	homadj=-34.54
1738	1	15	NA	NA	day	1018.25948387097	homadj=-34.54
1738	1	16	NA	NA	day	1023.85948387097	homadj=-34.54
1738	1	17	NA	NA	day	1012.95948387097	homadj=-34.54
1738	1	18	NA	NA	day	1013.45948387097	homadj=-34.54
1738	1	19	NA	NA	day	1000.75948387097	homadj=-34.54
1738	1	20	NA	NA	day	989.95948387097	homadj=-34.54
1738	1	21	NA	NA	day	975.65948387097	homadj=-34.54
1738	1	22	NA	NA	day	981.95948387097	homadj=-34.54
1738	1	23	NA	NA	day	1002.75948387097	homadj=-34.54
1738	1	24	NA	NA	day	990.45948387097	homadj=-34.54
1738	1	25	NA	NA	day	1011.25948387097	homadj=-34.54
1738	1	26	NA	NA	day	1029.15948387097	homadj=-34.54
1738	1	27	NA	NA	day	1023.35948387097	homadj=-34.54
1738	1	28	NA	NA	day	1028.45948387097	homadj=-34.54
1738	1	29	NA	NA	day	1030.35948387097	homadj=-34.54
1738	1	30	NA	NA	day	1030.55948387097	homadj=-34.54
1738	1	31	NA	NA	day	1026.75948387097	homadj=-34.54
1738	2	1	NA	NA	day	1019.45947142857	homadj=-34.54
1738	2	2	NA	NA	day	1014.35947142857	homadj=-34.54
1738	2	3	NA	NA	day	1019.85947142857	homadj=-34.54
