dirname,Names,filename,ID,Name,Lat,Lon,Alt,Source,Link,Vbl,Stat,Units,start_date,end_date,Meta
Aachen,Aachen | Aix-la-Chapelle | Aken,ECAD_Aachen_18910101-20110331_ta_daily_qc.tsv,TG_SOUID_102318,Aachen,50.783889,6.095,202,ECA&D,knmi-ecad-assets-prd.s3.amazonaws.com/download/ECA_nonblend_tg.zip,ta,mean,C,1891-1-1,2011-3-31,Mean temperature 0-0 UT | QC software=dataresqc v1.1.1
Aalesund,Ålesund | Alesund | Aalesund,METNO_Alesund_18640101-18661230_p_subdaily.tsv,Ålesund,Ålesund,62.4755,6.1508,6.0,frost.met.no,DOI 10.5281/zenodo.5940391,p,point,hPa,1864-1-1,1866-12-30,PTC=Y | PGC=? | Station number SN60950
Aarau,Aarau,CHIMES_Aarau_Bronner_18260401-18301231_p_subdaily_qc.tsv,AG01_Aarau_Bronner,Aarau,47.393,8.043,384,CHIMES,https://doi.org/10.5194/cp-15-1345-2019,p,point,hPa,1826-4-1,1830-12-31,Observer=Franz Xaver Bronner | PTC=Y | PGC=Y | QC software=dataresqc v1.0.3
Aarau,Aarau,CHIMES_Aarau_Zschogge_18070101-18651231_ta_subdaily_qc.tsv,AG01_Aarau_Zschogge,Aarau,47.393,8.043,384,CHIMES,https://doi.org/10.5194/cp-15-1345-2019,ta,point,C,1807-1-1,1865-12-31,"Observer=Heinrich Zschokke,Theodor Zschokke | QC software=dataresqc v1.0.3"
Aarau,Aarau,CHIMES_Aarau_Zschogge_18570401-18651231_rr_subdaily_qc.tsv,AG01_Aarau_Zschogge,Aarau,47.393,8.043,384,CHIMES,https://doi.org/10.5194/cp-15-1345-2019,rr,sum,mm,1857-4-1,1865-12-31,Observer=Theodor Zschokke | QC software=dataresqc v1.1.1
Aarau,Aarau,CHIMES_Aarau_Zschogge_18070101-18651231_p_subdaily_qc.tsv,AG01_Aarau_Zschogge,Aarau,47.393,8.043,384,CHIMES,https://doi.org/10.5194/cp-15-1345-2019,p,point,hPa,1807-1-1,1865-12-31,"Observer=Heinrich Zschokke,Theodor Zschokke | PTC=Y | PGC=Y | QC software=dataresqc v1.0.3"
Aarau,Aarau,CHIMES_Aarau_Bronner_18260401-18301231_ta_subdaily_qc.tsv,AG01_Aarau_Bronner,Aarau,47.393,8.043,384,CHIMES,https://doi.org/10.5194/cp-15-1345-2019,ta,point,C,1826-4-1,1830-12-31,Observer=Franz Xaver Bronner | QC software=dataresqc v1.0.3
Aas,As | Ås | Aas,METNO_Aas_18850101-19661231_p_subdaily.tsv,Ås (NMBU),Ås (NMBU),59.6605,10.7818,92.0,frost.met.no,DOI 10.5281/zenodo.5940391,p,point,hPa,1885-1-1,1966-12-31,PTC=Y | PGC=? | Station number SN17850
Aas,As | Ås | Aas,GHCNd_Gronbaek-Allingskovgard_18740901-20181231_rr_daily.tsv,DA000021430,GRONBAEK-ALLINGSKOVGARD,56.2831,9.6167,25,GHCN-D,,rr,sum,mm,1874-9-1,2018-12-31,
Aberdeen,Aberdeen | Obar Dheathain | Aiberdeen,WRDv2-2_Aberdeen_UK-hourly-books_18740101-18861231_p_subdaily.tsv,ABERDEEN,Aberdeen,57.1667,-2.1,27,UK-HOURLY-BOOKS,https://github.com/ed-hawkins/weather-rescue-data/tree/master/hourly_uk,p,point,hPa,1874-1-1,1886-12-31,"Transcription project led by Lisa Alexander, converted by Jiahao Gu and Ed Hawkins"
