station_source,variable,year
ACRE_Bessested,p,1749
ACRE_Bessested,p,1750
ACRE_Bessested,p,1751
Aschcroft_ElKala,ta,1877
Aschcroft_ElKala,ta,1878
Aschcroft_ElKala,ta,1879
Aschcroft_ElKala,ta,1880
Aschcroft_ElKala,ta,1881
Aschcroft_ElKala,ta,1882
Aschcroft_ElKala,ta,1883
Aschcroft_ElKala,ta,1884
Aschcroft_ElKala,ta,1885
Aschcroft_ElKala,ta,1886
Aschcroft_ElKala,ta,1887
Aschcroft_ElKala,ta,1888
Aschcroft_ElKala,ta,1889
Aschcroft_ElKala,ta,1890
Aschcroft_ElKala,ta,1892
Aschcroft_ElKala,ta,1893
Aschcroft_ElKala,ta,1897
Aschcroft_ElKala,ta,1898
Aschcroft_ElKala,ta,1899
Aschcroft_ElKala,ta,1900
Aschcroft_ElKala,ta,1901
Aschcroft_ElKala,ta,1902
Aschcroft_ElKala,ta,1903
Aschcroft_ElKala,ta,1904
Aschcroft_ElKala,ta,1905
Aschcroft_ElKala,ta,1906
Aschcroft_ElKala,ta,1907
Aschcroft_ElKala,ta,1908
Aschcroft_ElKala,ta,1909
Aschcroft_ElKala,ta,1922
Barriendos_Barcelona,p,1811
Barriendos_Barcelona,p,1812
Barriendos_Barcelona,p,1813
Barriendos_Barcelona,p,1814
Barriendos_Barcelona,p,1815
Barriendos_Barcelona,p,1816
Barriendos_Barcelona,p,1817
Barriendos_Barcelona,p,1818
Barriendos_Barcelona,p,1819
Barriendos_Barcelona,p,1820
Barriendos_Cadiz,Tn,1786
Barriendos_Cadiz,Tn,1787
Barriendos_Cadiz,Tn,1788
Barriendos_Cadiz,Tn,1789
Barriendos_Cadiz,Tn,1790
Barriendos_Cadiz,Tn,1791
Barriendos_Cadiz,Tn,1792
Barriendos_Cadiz,Tn,1793
Barriendos_Cadiz,Tn,1794
Barriendos_Cadiz,Tn,1795
Barriendos_Cadiz,Tn,1799
Barriendos_Cadiz,Tn,1800
Barriendos_Cadiz,Tn,1801
Barriendos_Cadiz,Tn,1802
Barriendos_Cadiz,Tn,1803
Barriendos_Cadiz,Tn,1804
Barriendos_Cadiz,Tn,1805
Barriendos_Cadiz,Tn,1806
Barriendos_Cadiz,Tn,1807
Barriendos_Cadiz,Tn,1808
Barriendos_Cadiz,Tn,1809
Barriendos_Cadiz,Tn,1811
Barriendos_Cadiz,Tn,1812
Barriendos_Cadiz,Tn,1813
Barriendos_Cadiz,Tn,1814
Barriendos_Cadiz,Tn,1816
Barriendos_Cadiz,Tn,1817
Barriendos_Cadiz,Tn,1818
Barriendos_Cadiz,Tn,1819
Barriendos_Cadiz,Tn,1820
Barriendos_Cadiz,Tn,1821
Barriendos_Cadiz,Tn,1822
Barriendos_Cadiz,Tn,1823
Barriendos_Cadiz,Tn,1824
Barriendos_Cadiz,Tn,1825
Barriendos_Cadiz,Tn,1826
Barriendos_Cadiz,Tn,1827
Barriendos_Cadiz,Tn,1828
Barriendos_Cadiz,Tn,1829
Barriendos_Cadiz,Tn,1830
Barriendos_Cadiz,Tn,1831
Barriendos_Cadiz,Tn,1832
Barriendos_Cadiz,Tn,1833
Barriendos_Cadiz,Tn,1834
Barriendos_Cadiz,Tn,1835
Barriendos_Cadiz,Tn,1836
Barriendos_Cadiz,Tn,1837
Barriendos_Cadiz,Tn,1838
Barriendos_Cadiz,Tn,1839
Barriendos_Cadiz,Tn,1840
Barriendos_Cadiz,Tn,1841
Barriendos_Cadiz,Tn,1842
Barriendos_Cadiz,Tn,1843
Barriendos_Cadiz,Tn,1844
Barriendos_Cadiz,Tn,1845
Barriendos_Cadiz,Tn,1846
Barriendos_Cadiz,Tn,1847
Barriendos_Cadiz,Tn,1848
Barriendos_Cadiz,Tn,1849
Barriendos_Cadiz,Tn,1850
Barriendos_Cadiz,Tn,1851
Barriendos_Cadiz,Tn,1852
Barriendos_Cadiz,Tn,1853
Barriendos_Cadiz,Tn,1854
Barriendos_Cadiz,Tn,1855
Barriendos_Cadiz,Tn,1856
Barriendos_Cadiz,Tn,1857
Barriendos_Cadiz,Tn,1858
Barriendos_Cadiz,Tn,1859
Barriendos_Cadiz,Tn,1860
Barriendos_Cadiz,Tn,1861
Barriendos_Cadiz,Tn,1862
Barriendos_Cadiz,Tn,1863
Barriendos_Cadiz,Tn,1864
Barriendos_Cadiz,Tn,1865
Barriendos_Cadiz,Tn,1866
Barriendos_Cadiz,Tn,1867
Barriendos_Cadiz,Tn,1868
Barriendos_Cadiz,Tn,1869
Barriendos_Cadiz,Tn,1870
Barriendos_Cadiz,Tn,1871
Barriendos_Cadiz,Tn,1872
Barriendos_Cadiz,Tn,1873
Barriendos_Cadiz,Tn,1874
Barriendos_Cadiz,Tn,1875
Barriendos_Cadiz,Tn,1876
Barriendos_Cadiz,Tn,1877
Barriendos_Cadiz,Tn,1878
Barriendos_Cadiz,Tn,1879
Barriendos_Cadiz,Tn,1880
Barriendos_Cadiz,Tn,1881
Barriendos_Cadiz,Tn,1882
Barriendos_Cadiz,Tn,1883
Barriendos_Cadiz,Tn,1884
Barriendos_Cadiz,Tn,1885
Barriendos_Cadiz,Tn,1886
Barriendos_Cadiz,Tn,1887
Barriendos_Cadiz,Tn,1888
Barriendos_Cadiz,Tn,1889
Barriendos_Cadiz,Tn,1890
Barriendos_Cadiz,Tn,1891
Barriendos_Cadiz,Tn,1892
Barriendos_Cadiz,Tn,1893
Barriendos_Cadiz,Tn,1894
Barriendos_Cadiz,Tn,1895
Barriendos_Cadiz,Tn,1896
Barriendos_Cadiz,Tn,1897
Barriendos_Cadiz,Tn,1898
Barriendos_Cadiz,Tn,1899
Barriendos_Cadiz,Tn,1900
Barriendos_Cadiz,Tn,1901
Barriendos_Cadiz,Tn,1902
Barriendos_Cadiz,Tn,1903
Barriendos_Cadiz,Tn,1904
Barriendos_Cadiz,Tn,1905
Barriendos_Cadiz,Tn,1906
Barriendos_Cadiz,Tn,1907
Barriendos_Cadiz,Tn,1908
Barriendos_Cadiz,Tn,1909
Barriendos_Cadiz,Tn,1910
Barriendos_Cadiz,Tn,1911
Barriendos_Cadiz,Tn,1912
Barriendos_Cadiz,Tn,1913
Barriendos_Cadiz,Tn,1914
Barriendos_Cadiz,Tn,1915
Barriendos_Cadiz,Tn,1916
Barriendos_Cadiz,Tn,1917
Barriendos_Cadiz,Tn,1918
Barriendos_Cadiz,Tn,1919
Barriendos_Cadiz,Tn,1920
Barriendos_Cadiz,Tn,1921
Barriendos_Cadiz,Tn,1922
Barriendos_Cadiz,Tn,1923
Barriendos_Cadiz,Tn,1924
Barriendos_Cadiz,Tn,1925
Barriendos_Cadiz,Tn,1926
Barriendos_Cadiz,Tn,1927
Barriendos_Cadiz,Tn,1928
Barriendos_Cadiz,Tn,1929
Barriendos_Cadiz,Tn,1930
