dirname,filename,variable,year
Aachen,ECAD_Aachen_18910101-20110331_ta_daily_qc.tsv,ta,1891
Aachen,ECAD_Aachen_18910101-20110331_ta_daily_qc.tsv,ta,1892
Aachen,ECAD_Aachen_18910101-20110331_ta_daily_qc.tsv,ta,1893
Aachen,ECAD_Aachen_18910101-20110331_ta_daily_qc.tsv,ta,1894
Aachen,ECAD_Aachen_18910101-20110331_ta_daily_qc.tsv,ta,1895
Aachen,ECAD_Aachen_18910101-20110331_ta_daily_qc.tsv,ta,1896
Aachen,ECAD_Aachen_18910101-20110331_ta_daily_qc.tsv,ta,1897
Aachen,ECAD_Aachen_18910101-20110331_ta_daily_qc.tsv,ta,1898
Aachen,ECAD_Aachen_18910101-20110331_ta_daily_qc.tsv,ta,1899
Aachen,ECAD_Aachen_18910101-20110331_ta_daily_qc.tsv,ta,1900
Aachen,ECAD_Aachen_18910101-20110331_ta_daily_qc.tsv,ta,1901
Aachen,ECAD_Aachen_18910101-20110331_ta_daily_qc.tsv,ta,1902
Aachen,ECAD_Aachen_18910101-20110331_ta_daily_qc.tsv,ta,1903
Aachen,ECAD_Aachen_18910101-20110331_ta_daily_qc.tsv,ta,1904
Aachen,ECAD_Aachen_18910101-20110331_ta_daily_qc.tsv,ta,1905
Aachen,ECAD_Aachen_18910101-20110331_ta_daily_qc.tsv,ta,1906
Aachen,ECAD_Aachen_18910101-20110331_ta_daily_qc.tsv,ta,1907
Aachen,ECAD_Aachen_18910101-20110331_ta_daily_qc.tsv,ta,1908
Aachen,ECAD_Aachen_18910101-20110331_ta_daily_qc.tsv,ta,1909
Aachen,ECAD_Aachen_18910101-20110331_ta_daily_qc.tsv,ta,1910
Aachen,ECAD_Aachen_18910101-20110331_ta_daily_qc.tsv,ta,1911
Aachen,ECAD_Aachen_18910101-20110331_ta_daily_qc.tsv,ta,1912
Aachen,ECAD_Aachen_18910101-20110331_ta_daily_qc.tsv,ta,1913
Aachen,ECAD_Aachen_18910101-20110331_ta_daily_qc.tsv,ta,1914
Aachen,ECAD_Aachen_18910101-20110331_ta_daily_qc.tsv,ta,1930
Aachen,ECAD_Aachen_18910101-20110331_ta_daily_qc.tsv,ta,1931
Aachen,ECAD_Aachen_18910101-20110331_ta_daily_qc.tsv,ta,1932
Aachen,ECAD_Aachen_18910101-20110331_ta_daily_qc.tsv,ta,1933
Aachen,ECAD_Aachen_18910101-20110331_ta_daily_qc.tsv,ta,1934
Aachen,ECAD_Aachen_18910101-20110331_ta_daily_qc.tsv,ta,1935
