station_source,variable,folder,start,end,span_days,span_years,covered_days,n_files,n_blocks,max_gap_days,blocks,file_list
ACRE_Bessested,p,Bessested,1749-08-01,1751-07-30,729,2.00,729,1,1,0,1749-08-01..1751-07-30,/scratch3/PALAEO-RA/daily_data/final/Bessested/ACRE_Bessested_17490801-17510730_p_daily_qc.tsv
Aschcroft_ElKala,ta,ElKala,1877-04-08,1922-12-31,16703,45.73,16703,1,1,0,1877-04-08..1922-12-31,/scratch3/PALAEO-RA/daily_data/final/ElKala/Aschcroft_ElKala_18770408-19221231_ta_subdaily_qc.tsv
Barriendos_Barcelona,p,Barcelona,1811-01-01,1820-12-31,3653,10.00,3653,1,1,0,1811-01-01..1820-12-31,/scratch3/PALAEO-RA/daily_data/final/Barcelona/Barriendos_Barcelona_18110101-18201231_p_daily_qc.tsv
Barriendos_Cadiz,Tn,Cadiz,1786-01-01,1949-12-31,59899,164.00,59899,1,1,0,1786-01-01..1949-12-31,/scratch3/PALAEO-RA/daily_data/final/Cadiz/Barriendos_Cadiz_17860101-19491231_Tn_daily_qc.tsv
Barriendos_Cadiz,Tx,Cadiz,1786-01-01,1949-12-31,59899,164.00,59899,1,1,0,1786-01-01..1949-12-31,/scratch3/PALAEO-RA/daily_data/final/Cadiz/Barriendos_Cadiz_17860101-19491231_Tx_daily_qc.tsv
Barriendos_Cadiz,p,Cadiz,1820-01-01,1949-12-31,47482,130.00,47482,1,1,0,1820-01-01..1949-12-31,/scratch3/PALAEO-RA/daily_data/final/Cadiz/Barriendos_Cadiz_18200101-19491231_p_daily_qc.tsv
Bolzern_Barcelona,ta,Barcelona,1800-01-01,1825-12-31,9496,26.00,9496,1,1,0,1800-01-01..1825-12-31,/scratch3/PALAEO-RA/daily_data/final/Barcelona/Bolzern_Barcelona_18000101-18251231_ta_subdaily_qc.tsv
Bolzern_Ylitornio,ta,Ylitornio,1803-05-08,1822-12-31,7178,19.65,7178,2,1,0,1803-05-08..1822-12-31,/scratch3/PALAEO-RA/daily_data/final/Ylitornio/Bolzern_Ylitornio_18030508-18221231_ta_noon_qc.tsv|/scratch3/PALAEO-RA/daily_data/final/Ylitornio/Bolzern_Ylitornio_18070101-18071231_ta_daily_qc.tsv
Boyle_Oxford,ta,Oxford,1666-07-04,1683-07-01,6207,16.99,6207,1,1,0,1666-07-04..1683-07-01,/scratch3/PALAEO-RA/daily_data/final/Oxford/Boyle_Oxford_16660704-16830701_ta_subdaily.tsv
Brug_Zitenice,p,Zitenice,1790-01-01,1818-12-31,10591,29.00,10591,1,1,0,1790-01-01..1818-12-31,/scratch3/PALAEO-RA/daily_data/final/Zitenice/Brug_Zitenice_17900101-18181231_p_subdaily_qc.tsv
